sequence_id,type,start,end,strand,locus_tag_bakta,gene,flag,product,dbxrefs,name
chromosome,cds,493394,494863,+,CS12_00497,rng,cds,ribonuclease G,"COG:COG1530, COG:J, EC:3.1.26.-, GO:0000049, GO:0003723, GO:0004519, GO:0004540, GO:0005737, GO:0006364, GO:0006396, GO:0008033, GO:0019843, GO:0046872, RefSeq:WP_000123197.1, SO:0001217, UniParc:UPI00001654FF, UniRef:UniRef100_P0A9J0, UniRef:UniRef50_P0A9J0, UniRef:UniRef90_P0A9J0",rng
chromosome,cds,494931,498731,+,CS12_00498,yhdP,cds,AsmA2 domain-containing protein YhdP,"COG:COG3164, COG:M, GO:0005886, GO:0015914, RefSeq:WP_001253618.1, SO:0001217, UniParc:UPI000016825E, UniRef:UniRef100_P46474, UniRef:UniRef50_P46474, UniRef:UniRef90_P46474",yhdP
chromosome,ncRNA,498809,498878,+,CS12_00499,naRNA4,ncRNA,Nucleoid-associated noncoding RNA 4 (CssrE),"RFAM:RF02564, SO:0000655",naRNA4
chromosome,ncRNA,498900,498969,+,CS12_00500,naRNA4,ncRNA,Nucleoid-associated noncoding RNA 4 (CssrE),"RFAM:RF02564, SO:0000655",naRNA4
chromosome,ncRNA,498991,499060,+,CS12_00501,naRNA4,ncRNA,Nucleoid-associated noncoding RNA 4 (CssrE),"RFAM:RF02564, SO:0000655",naRNA4
chromosome,cds,499161,500606,+,CS12_00502,tldD,cds,metalloprotease TldD,"COG:COG0312, COG:OV, EC:3.4.-.-, EC:3.4.24.-, GO:0005829, GO:0006508, GO:0008237, KEGG:K03568, RefSeq:WP_000055909.1, SO:0001217, UniParc:UPI0000137030, UniRef:UniRef100_P0AGG8, UniRef:UniRef50_P0AGG8, UniRef:UniRef90_P0AGG8",tldD
chromosome,cds,500740,501669,-,CS12_00503,aaeR,cds,HTH-type transcriptional activator AaeR,"COG:COG0583, COG:K, GO:0000976, GO:0003700, GO:0006351, GO:0006352, GO:0006355, GO:0045893, KEGG:K21698, RefSeq:WP_000440317.1, SO:0001217, UniParc:UPI000013B1E5, UniRef:UniRef100_P67662, UniRef:UniRef50_P67662, UniRef:UniRef90_P67662",aaeR
chromosome,cds,501852,502055,+,CS12_00504,aaeX,cds,p-hydroxybenzoic acid efflux pump operon protein AaeX,"GO:0005886, KEGG:K21695, RefSeq:WP_000051841.1, SO:0001217, UniParc:UPI00005EE28B, UniRef:UniRef100_P46478, UniRef:UniRef50_P46478, UniRef:UniRef90_P46478",aaeX
chromosome,cds,502063,502995,+,CS12_00505,aaeA,cds,p-hydroxybenzoic acid efflux pump subunit AaeA,"COG:COG1566, COG:V, GO:0005886, GO:0022857, GO:0055085, KEGG:K15548, RefSeq:WP_000854021.1, SO:0001217, UniParc:UPI000013B1E3, UniRef:UniRef100_P46482, UniRef:UniRef50_P46482, UniRef:UniRef90_P46482",aaeA
chromosome,cds,503001,504968,+,CS12_00506,aaeB,cds,p-hydroxybenzoic acid efflux pump subunit AaeB,"COG:COG1289, COG:S, GO:0005886, GO:0022857, GO:0046942, GO:0055085, RefSeq:WP_000510965.1, SO:0001217, UniParc:UPI0001A58C68, UniRef:UniRef100_C4ZSX8, UniRef:UniRef50_P46481, UniRef:UniRef90_P46481",aaeB
chromosome,cds,505060,505332,+,CS12_00507,yhcO,cds,putative protein YhcO,"COG:COG2732, COG:K, KEGG:K03623, RefSeq:WP_001029013.1, SO:0001217, UniParc:UPI000013B1E1, UniRef:UniRef100_P64616, UniRef:UniRef50_P64616, UniRef:UniRef90_P64616",yhcO
chromosome,cds,505388,505651,-,CS12_00508,yhcN,cds,peroxide/acid stress response protein YhcN,"GO:0042597, GO:0044011, GO:0070301, GO:0071468, RefSeq:WP_000695690.1, SO:0001217, UniParc:UPI000013B1E0, UniRef:UniRef100_P64614, UniRef:UniRef50_P64614, UniRef:UniRef90_P64614",yhcN
chromosome,cds,506016,506486,-,CS12_00509,argR,cds,transcriptional regulator ArgR,"COG:COG1438, COG:K, GO:0003677, GO:0003700, GO:0005737, GO:0006526, GO:0034618, GO:0051259, GO:1900079, KEGG:K03402, RefSeq:WP_023149732.1, SO:0001217, UniParc:UPI0003BB1D16, UniRef:UniRef100_A0A1X9TI23, UniRef:UniRef50_P0A6D0, UniRef:UniRef90_P0A6D0",argR
chromosome,cds,506921,507859,+,CS12_00510,mdh,cds,malate dehydrogenase,"COG:C, COG:COG0039, EC:1.1.1.37, GO:0005737, GO:0006099, GO:0006108, GO:0030060, RefSeq:WP_001295272.1, SO:0001217, UniParc:UPI000012EE3B, UniRef:UniRef100_P61889, UniRef:UniRef50_P61889, UniRef:UniRef90_P61889",mdh
chromosome,cds,507922,508989,-,CS12_00511,degS,cds,outer membrane-stress sensor serine endopeptidase DegS,"COG:COG0265, COG:O, EC:3.4.21.107, GO:0004252, GO:0005886, GO:0006508, GO:0008233, GO:0008236, GO:0030288, GO:0042802, GO:0071218, RefSeq:WP_000497723.1, SO:0001217, UniParc:UPI000012917D, UniRef:UniRef100_P0AEE3, UniRef:UniRef50_P0AEE3, UniRef:UniRef90_P0AEE3",degS
chromosome,cds,509079,510446,-,CS12_00512,degQ,cds,serine endoprotease DegQ,"COG:COG0265, COG:O, EC:3.4.21.107, GO:0004252, GO:0005515, GO:0006508, GO:0006515, GO:0008233, GO:0042597, GO:0042802, GO:0051603, RefSeq:WP_001295271.1, SO:0001217, UniParc:UPI000012917B, UniRef:UniRef100_P39099, UniRef:UniRef50_P39099, UniRef:UniRef90_P39099",degQ
chromosome,cds,510600,510998,-,CS12_00513,zapG,cds,Z-ring associated protein ZapG,"COG:COG3105, COG:D, GO:0005886, GO:0008360, GO:0051301, KEGG:K09908, RefSeq:WP_001295270.1, SO:0001217, UniParc:UPI00005F03E5, UniRef:UniRef100_P0ADW3, UniRef:UniRef50_P0ADW3, UniRef:UniRef90_P0ADW3",zapG
chromosome,cds,511192,512319,+,CS12_00514,zapE,cds,cell division protein ZapE,"BlastRules:WP_001192332, COG:COG1485, COG:D, GO:0005524, GO:0005543, GO:0005737, GO:0016887, GO:0032153, GO:0051301, RefSeq:WP_001192332.1, SO:0001217, UniParc:UPI000013B1DF, UniRef:UniRef100_P64612, UniRef:UniRef50_P64612, UniRef:UniRef90_P64612",zapE
chromosome,cds,512538,512966,+,CS12_00515,rplM,cds,50S ribosomal protein L13,"COG:COG0102, COG:J, GO:0003729, GO:0003735, GO:0005840, GO:0006412, GO:0017148, GO:0022625, RefSeq:WP_000847559.1, SO:0001217, UniParc:UPI000005A528, UniRef:UniRef100_P0AA10, UniRef:UniRef50_P0AA10, UniRef:UniRef90_P0AA10",rplM
chromosome,cds,512982,513374,+,CS12_00516,rpsI,cds,30S ribosomal protein S9,"COG:COG0103, COG:J, GO:0003723, GO:0003735, GO:0005840, GO:0006412, GO:0022627, KEGG:K02996, RefSeq:WP_000829818.1, SO:0001217, UniParc:UPI00001654FE, UniRef:UniRef100_A8AQC0, UniRef:UniRef50_P66643, UniRef:UniRef90_A4WF42",rpsI
chromosome,cds,513769,514407,+,CS12_00517,sspA,cds,stringent starvation protein SspA,"COG:COG0625, COG:O, GO:0005515, GO:0005737, GO:0006749, RefSeq:WP_000257293.1, SO:0001217, UniParc:UPI000003EB01, UniRef:UniRef100_P0ACA3, UniRef:UniRef50_P0ACA3, UniRef:UniRef90_P0ACA3",sspA
chromosome,cds,514413,514910,+,CS12_00518,sspB,cds,ClpXP protease specificity-enhancing factor,"COG:COG2969, COG:O, GO:0005829, GO:0005840, GO:0045732, RefSeq:WP_000366129.1, SO:0001217, UniParc:UPI000003EB00, UniRef:UniRef100_P0AFZ3, UniRef:UniRef50_P0AFZ3, UniRef:UniRef90_P0AFZ3",sspB
chromosome,cds,514953,516320,-,CS12_00519,dcuC,cds,anaerobic C4-dicarboxylate transporter DcuC,"GO:0005886, GO:0015556, GO:0015740, GO:0019588, RefSeq:WP_000467018.1, SO:0001217, UniParc:UPI0000129041, UniRef:UniRef100_P45428, UniRef:UniRef50_P45428, UniRef:UniRef90_P45428",dcuC
chromosome,cds,516700,517491,+,CS12_00520,nanR,cds,transcriptional regulator NanR,"BlastRules:WP_000382926, COG:COG2186, COG:K, GO:0003677, GO:0003700, GO:0045892, KEGG:K22104, RefSeq:WP_000523845.1, SO:0001217, UniParc:UPI000012FD53, UniRef:UniRef100_P0A8W0, UniRef:UniRef50_P0A8W0, UniRef:UniRef90_P0A8W0",nanR
chromosome,cds,517613,518506,+,CS12_00521,nanA,cds,N-acetylneuraminate lyase,"COG:COG0329, COG:EM, EC:4.1.3.3, GO:0005829, GO:0005975, GO:0008747, GO:0019262, RefSeq:WP_000224714.1, SO:0001217, UniParc:UPI0000157414, UniRef:UniRef100_P0A6L4, UniRef:UniRef50_P0A6L4, UniRef:UniRef90_P0A6L4",nanA
chromosome,cds,518615,520105,+,CS12_00522,nanT,cds,sialic acid transporter NanT,"BlastRules:WP_000108454, COG:COG2814, COG:G, GO:0005886, GO:0015538, GO:0046943, KEGG:K03290, RefSeq:WP_000108459.1, SO:0001217, UniParc:UPI00001A3ACA, UniRef:UniRef100_B7LHS8, UniRef:UniRef50_P41036, UniRef:UniRef90_P41036",nanT
chromosome,cds,520153,520842,+,CS12_00523,nanE,cds,Putative N-acetylmannosamine-6-phosphate 2-epimerase,"COG:COG3010, COG:G, EC:5.1.3.9, GO:0005829, GO:0005975, GO:0006053, GO:0019262, GO:0047465, KEGG:K01788, RefSeq:WP_000054239.1, SO:0001217, UniParc:UPI000012FD47, UniRef:UniRef100_P0A761, UniRef:UniRef50_P0A761, UniRef:UniRef90_P0A761",nanE
chromosome,cds,520839,521714,+,CS12_00524,nanK,cds,N-acetylmannosamine kinase,"BlastRules:WP_000208982, BlastRules:WP_000209011, COG:COG1940, COG:GK, EC:2.7.1.60, GO:0005524, GO:0008270, GO:0009384, GO:0019262, KEGG:K00885, RefSeq:WP_000209011.1, SO:0001217, UniParc:UPI000012FD4F, UniRef:UniRef100_P45425, UniRef:UniRef50_P45425, UniRef:UniRef90_P45425",nanK
chromosome,cds,521711,522175,+,CS12_00525,nanQ,cds,N-acetylneuraminate anomerase,"COG:COG2731, COG:G, GO:0005829, GO:0006974, GO:0008270, GO:0016857, GO:0019262, RefSeq:WP_000979882.1, SO:0001217, UniParc:UPI000013B1DD, UniRef:UniRef100_P45424, UniRef:UniRef50_P45424, UniRef:UniRef90_P45424",nanQ
chromosome,cds,522235,523047,-,CS12_00526,,cds,Putative cytoplasmic protein,"SO:0001217, UniRef:UniRef50_A0A7G2IQB9, UniRef:UniRef90_A0A1X3JCF1",Putative cytoplasmic protein
chromosome,,523129,524438,+,,,IS,,,IS629
chromosome,cds,523183,523509,+,CS12_00527,tnp,cds,IS3 family IS3411 transposase ORF A,"GO:0003677, GO:0004803, GO:0006310, GO:0015074, GO:0032196, IS:IS3411, RefSeq:WP_000165309.1, SO:0001217, UniParc:UPI000000E5AD, UniRef:UniRef100_A0A228TKT9, UniRef:UniRef50_P16942, UniRef:UniRef90_P16942",tnpa
chromosome,ncRNA-region,523464,523580,+,,,ncRNA-region,ALIL pseudoknot,"RFAM:RF01497, SO:0005836",ALIL pseudoknot
chromosome,cds,523509,524396,+,CS12_00528,tnp,cds,IS3 family IS629 transposase ORF B,"GO:0003677, GO:0004803, GO:0006310, GO:0015074, GO:0032196, IS:IS629, RefSeq:WP_001405518.1, SO:0001217, UniParc:UPI00022BC1A4, UniRef:UniRef100_A0A228TKT9, UniRef:UniRef50_P16942, UniRef:UniRef90_P16942",tnpB
chromosome,cds,524436,524675,-,CS12_00529,yhcG,cds,Putative nuclease YhcG,"COG:COG4804, COG:R, EC:3.1.-.-, GO:0003677, GO:0004518, RefSeq:WP_023149722.1, SO:0001217, UniParc:UPI0003BB4A6C, UniRef:UniRef100_UPI0032AEBCC6, UniRef:UniRef50_P45423, UniRef:UniRef90_P45423",yhcG
chromosome,cds,524860,525576,-,CS12_00530,yhcF,cds,putative protein YhcF,"RefSeq:WP_001067008.1, SO:0001217, UniParc:UPI000013B1DB, UniRef:UniRef100_P45422, UniRef:UniRef90_P45422",yhcF
chromosome,cds,525573,526118,-,CS12_00531,yhcE,cds,YhcE family protein,"BlastRules:WP_000821200, BlastRules:WP_000821351, BlastRules:WP_180557413, RefSeq:WP_000821351.1, SO:0001217, UniParc:UPI000013B1DA, UniRef:UniRef100_P45421, UniRef:UniRef50_P45421, UniRef:UniRef90_P45421",yhcE
chromosome,cds,526115,528496,-,CS12_00532,yhcD,cds,putative outer membrane usher protein YhcD,"GO:0009279, GO:0009297, GO:0015473, RefSeq:WP_000914994.1, SO:0001217, UniParc:UPI000013B1D9, UniRef:UniRef100_P45420, UniRef:UniRef50_P45420, UniRef:UniRef90_P45420",yhcD
chromosome,cds,528517,529191,-,CS12_00533,yhcA,cds,putative fimbrial chaperone YhcA,"GO:0030288, GO:0071555, RefSeq:WP_001311157.1, SO:0001217, UniParc:UPI000013B1D5, UniRef:UniRef100_P28722, UniRef:UniRef50_P28722, UniRef:UniRef90_P28722",yhcA
chromosome,cds,529197,529301,-,CS12_00534,,cds,hypothetical protein,"SO:0001217, UniRef:UniRef50_A0A377DMA2, UniRef:UniRef90_A0A377DMA2",hypothetical protein
chromosome,cds,529363,530127,-,CS12_00535,gltF,cds,Protein GltF,"GO:0005886, GO:0030288, RefSeq:WP_000465371.1, SO:0001217, UniParc:UPI000012B80C, UniRef:UniRef100_P28721, UniRef:UniRef50_P28721, UniRef:UniRef90_P28721",gltF
chromosome,cds,530687,532105,-,CS12_00536,gltD,cds,glutamate synthase subunit GltD,"BlastRules:WP_000081674, COG:COG0493, COG:ER, EC:1.4.1.13, GO:0004355, GO:0005829, GO:0006537, GO:0009342, GO:0019676, GO:0046872, GO:0051539, GO:0097054, RefSeq:WP_000081674.1, SO:0001217, UniParc:UPI000016819D, UniRef:UniRef100_P09832, UniRef:UniRef50_P09832, UniRef:UniRef90_P09832",gltD
chromosome,cds,532118,536671,-,CS12_00537,gltB,cds,glutamate synthase large subunit,"COG:COG0070, COG:E, EC:1.4.1.13, GO:0003824, GO:0004355, GO:0005829, GO:0006537, GO:0008152, GO:0009342, GO:0015930, GO:0016491, GO:0019676, GO:0046872, GO:0051538, GO:0097054, SO:0001217, UniRef:UniRef50_P09831, UniRef:UniRef90_P09831",gltB
chromosome,cds,537253,538182,+,CS12_00538,yhcC,cds,TIGR01212 family radical SAM protein,"GO:0003824, GO:0046872, GO:0051536, GO:0051539, GO:1904047, KEGG:K07139, RefSeq:WP_001299745.1, SO:0001217, UniParc:UPI000013B1D8, UniRef:UniRef100_P0ADW6, UniRef:UniRef50_P0ADW6, UniRef:UniRef90_P0ADW6",yhcC
chromosome,cds,538278,540614,+,CS12_00539,arcB,cds,aerobic respiration two-component sensor histidine kinase ArcB,"COG:COG2198, COG:T, EC:2.7.13.3, GO:0000155, GO:0000160, GO:0005524, GO:0005886, GO:0006355, GO:0009927, GO:0016020, GO:0016310, RefSeq:WP_000809774.1, SO:0001217, UniParc:UPI0000125D9E, UniRef:UniRef100_P0AEC3, UniRef:UniRef50_P0AEC3, UniRef:UniRef90_P0AEC3",arcB
chromosome,ncRNA,540619,540726,-,CS12_00540,arcZ,ncRNA,ArcZ RNA,"RFAM:RF00081, SO:0000655",arcZ
chromosome,cds,540844,541497,+,CS12_00541,elbB,cds,isoprenoid biosynthesis glyoxalase ElbB,"COG:COG3155, COG:V, EC:4.2.1.-, GO:0016829, RefSeq:WP_001300411.1, SO:0001217, UniParc:UPI0000129E4A, UniRef:UniRef100_P0ABU5, UniRef:UniRef50_P0ABU5, UniRef:UniRef90_P0ABU5",elbB
chromosome,cds,541494,542222,+,CS12_00542,mtgA,cds,monofunctional biosynthetic peptidoglycan transglycosylase,"COG:COG0744, COG:M, EC:2.4.99.28, GO:0005886, GO:0008360, GO:0008955, GO:0009252, GO:0009274, GO:0016020, GO:0016763, GO:0071555, KEGG:K03814, RefSeq:WP_000047091.1, SO:0001217, UniParc:UPI000012F7B6, UniRef:UniRef100_P46022, UniRef:UniRef50_P46022, UniRef:UniRef90_P46022",mtgA
chromosome,cds,542219,542851,-,CS12_00543,yrbL,cds,PhoP regulatory network protein YrbL,"GO:0005886, RefSeq:WP_000620405.1, SO:0001217, UniParc:UPI000013BFB6, UniRef:UniRef100_P64610, UniRef:UniRef50_P64610, UniRef:UniRef90_P64610",yrbL
chromosome,cds,543065,543337,-,CS12_00544,npr,cds,PTS phosphocarrier protein NPr,"COG:COG1925, COG:TG, GO:0005737, GO:0009401, RefSeq:WP_000216791.1, SO:0001217, UniParc:UPI00001329D0, UniRef:UniRef100_P0A9N0, UniRef:UniRef50_P0A9N0, UniRef:UniRef90_P0A9N0",npr
chromosome,cds,543334,544188,-,CS12_00545,rapZ,cds,RNase adapter RapZ,"COG:COG1660, COG:T, GO:0003723, GO:0005524, GO:0005525, KEGG:K06958, RefSeq:WP_000243741.1, SO:0001217, UniParc:UPI000013B1BD, UniRef:UniRef100_P0A894, UniRef:UniRef50_P0A894, UniRef:UniRef90_P0A894",rapZ
chromosome,cds,544234,544725,-,CS12_00546,ptsN,cds,PTS IIA-like nitrogen regulatory protein PtsN,"COG:COG1762, COG:GT, GO:0004857, GO:0005829, GO:0008982, GO:0009401, GO:0016301, GO:0030295, RefSeq:WP_000183676.1, SO:0001217, UniParc:UPI00001103DE, UniRef:UniRef100_P69829, UniRef:UniRef50_P69829, UniRef:UniRef90_P69829",ptsN
chromosome,cds,544843,545130,-,CS12_00547,hpf,cds,ribosome hibernation promoting factor,"COG:COG1544, COG:J, GO:0022627, GO:0043024, GO:0044238, GO:0045900, RefSeq:WP_001176599.1, SO:0001217, UniParc:UPI0000134589, UniRef:UniRef100_P0AFX0, UniRef:UniRef50_P0AFX0, UniRef:UniRef90_P0AFX0",hpf
chromosome,cds,545153,546586,-,CS12_00548,rpoN,cds,RNA polymerase factor sigma-54,"COG:COG1508, COG:K, EC:2.7.7.6, GO:0001216, GO:0003677, GO:0006352, GO:0016987, GO:0022627, GO:0043024, GO:0045900, KEGG:K03092, RefSeq:WP_000809057.1, SO:0001217, UniParc:UPI0000134576, UniRef:UniRef100_P24255, UniRef:UniRef50_P24255, UniRef:UniRef90_P24255",rpoN
chromosome,cds,546634,547359,-,CS12_00549,lptB,cds,LPS export ABC transporter ATP-binding protein,"COG:COG1137, COG:M, EC:7.5.2.-, EC:7.5.2.5, GO:0005524, GO:0005737, GO:0016887, GO:0043190, GO:0055085, RefSeq:WP_000224099.1, SO:0001217, UniParc:UPI0000163A14, UniRef:UniRef100_P0A9V1, UniRef:UniRef50_P0A9V1, UniRef:UniRef90_P0A9V1",lptB
chromosome,cds,547366,547923,-,CS12_00550,lptA,cds,lipopolysaccharide ABC transporter substrate-binding protein LptA,"COG:COG1934, COG:M, EC:7.5.2.5, GO:0001530, GO:0009279, GO:0015920, GO:0017089, GO:0030288, GO:0043165, KEGG:K09774, RefSeq:WP_000669785.1, SO:0001217, UniParc:UPI000013B1C0, UniRef:UniRef100_P0ADV1, UniRef:UniRef50_P0ADV1, UniRef:UniRef90_P0ADV1",lptA
chromosome,cds,547892,548467,-,CS12_00551,lptC,cds,LPS export ABC transporter periplasmic protein LptC,"COG:COG3117, COG:M, EC:7.5.2.5, GO:0005886, GO:0015221, GO:0017089, GO:0030288, GO:0043165, RefSeq:WP_000030537.1, SO:0001217, UniParc:UPI000013BFB4, UniRef:UniRef100_P0ADV9, UniRef:UniRef50_P0ADV9, UniRef:UniRef90_P0ADV9",lptC
chromosome,cds,548464,549030,-,CS12_00552,kdsC,cds,3-deoxy-manno-octulosonate-8-phosphatase KdsC,"COG:COG1778, COG:MR, EC:3.1.3.45, GO:0008781, GO:0009103, GO:0016788, GO:0019143, GO:0046872, RefSeq:WP_000030005.1, SO:0001217, UniParc:UPI000013BFB3, UniRef:UniRef100_P0ABZ4, UniRef:UniRef50_A0A140N5J7, UniRef:UniRef90_A0A140N5J7",kdsC
chromosome,cds,549051,550037,-,CS12_00553,kdsD,cds,arabinose-5-phosphate isomerase KdsD,"COG:COG2905, COG:T, EC:5.3.1.13, GO:0009103, GO:0016853, GO:0019146, GO:0046872, GO:0097367, GO:1901135, RefSeq:WP_001295557.1, SO:0001217, UniParc:UPI000013BFB1, UniRef:UniRef100_P45395, UniRef:UniRef50_P45395, UniRef:UniRef90_P45395",kdsD
chromosome,cds,550051,551028,-,CS12_00554,yrbG,cds,calcium/sodium antiporter,"COG:COG0530, COG:P, GO:0005262, GO:0005886, GO:0006874, GO:0008273, GO:0070588, RefSeq:WP_000922873.1, SO:0001217, UniParc:UPI00016A0CE0, UniRef:UniRef100_A0A0J2BVS8, UniRef:UniRef50_P45394, UniRef:UniRef90_P45394",yrbG
chromosome,cds,551238,552047,+,CS12_00555,mlaF,cds,phospholipid ABC transporter ATP-binding protein MlaF,"COG:COG1127, COG:M, EC:7.6.2.-, GO:0005524, GO:0005886, GO:0015914, GO:0016020, GO:0016887, GO:0120010, GO:0120014, GO:1990531, RefSeq:WP_000438245.1, SO:0001217, UniParc:UPI000013BFAE, UniRef:UniRef100_P63386, UniRef:UniRef50_P63386, UniRef:UniRef90_P63386",mlaF
chromosome,cds,552055,552837,+,CS12_00556,mlaE,cds,lipid asymmetry maintenance ABC transporter permease subunit MlaE,"COG:COG0767, COG:M, GO:0005548, GO:0043190, KEGG:K02066, RefSeq:WP_000925795.1, SO:0001217, UniParc:UPI000013BFAC, UniRef:UniRef100_P64606, UniRef:UniRef50_P64606, UniRef:UniRef90_P64606",mlaE
chromosome,cds,552842,553393,+,CS12_00557,mlaD,cds,outer membrane lipid asymmetry maintenance protein MlaD,"COG:COG1463, COG:M, GO:0005543, GO:0005886, GO:0015914, GO:0016020, GO:0120010, GO:0120014, GO:1990531, RefSeq:WP_001296448.1, SO:0001217, UniParc:UPI000013BFAA, UniRef:UniRef100_P64604, UniRef:UniRef50_P64604, UniRef:UniRef90_P64604",mlaD
chromosome,cds,553412,554047,+,CS12_00558,mlaC,cds,phospholipid-binding protein MlaC,"COG:COG2854, COG:M, GO:0042597, KEGG:K07323, RefSeq:WP_000476487.1, SO:0001217, UniParc:UPI0000000176, UniRef:UniRef100_P0ADV7, UniRef:UniRef50_P0ADV7, UniRef:UniRef90_P0ADV7",mlaC
chromosome,cds,554047,554340,+,CS12_00559,mlaC,cds,phospholipid-binding protein MlaC,"COG:COG3113, COG:M, GO:0005737, KEGG:K07323, RefSeq:WP_000004488.1, SO:0001217, UniParc:UPI000013BFA8, UniRef:UniRef100_P64602, UniRef:UniRef50_P64602, UniRef:UniRef90_P64602",mlaC
chromosome,cds,554485,554754,+,CS12_00560,ibaG,cds,BolA family iron metabolism protein IbaG,"BlastRules:WP_000368006, BlastRules:WP_000429656, BlastRules:WP_004814457, COG:COG5007, COG:T, GO:0005829, GO:0006879, GO:0016226, GO:0045454, GO:0051537, GO:0097533, GO:1990229, RefSeq:WP_000568740.1, SO:0001217, UniParc:UPI00000D00A4, UniRef:UniRef100_P0A9W6, UniRef:UniRef50_P0A9W6, UniRef:UniRef90_P0A9W6",ibaG
chromosome,cds,554809,556068,+,CS12_00561,murA,cds,UDP-N-acetylglucosamine 1-carboxyvinyltransferase MurA,"COG:COG0766, COG:M, EC:2.5.1.7, GO:0005737, GO:0008360, GO:0008760, GO:0009252, GO:0019277, GO:0051301, GO:0071555, KEGG:K00790, RefSeq:WP_000357259.1, SO:0001217, UniParc:UPI0000112E58, UniRef:UniRef100_P0A749, UniRef:UniRef50_P33038, UniRef:UniRef90_P33038",murA
chromosome,cds,556116,556394,-,CS12_00562,sfsB,cds,DNA-binding transcriptional regulator SfsB,"COG:COG3423, COG:K, GO:0003677, KEGG:K07724, RefSeq:WP_000445407.1, SO:0001217, UniParc:UPI00016A0AD4, UniRef:UniRef100_A0A023LEV0, UniRef:UniRef50_P0ACH1, UniRef:UniRef90_P0ACH1",sfsB
chromosome,cds,556622,557593,-,CS12_00563,ispB,cds,octaprenyl diphosphate synthase,"COG:COG0142, COG:H, EC:2.5.1.90, GO:0008299, GO:0046872, GO:0106350, RefSeq:WP_001047336.1, SO:0001217, UniParc:UPI000012D912, UniRef:UniRef100_P0AD57, UniRef:UniRef50_P0AD57, UniRef:UniRef90_P0AD57",ispB
chromosome,cds,557852,558163,+,CS12_00564,rplU,cds,50S ribosomal protein L21,"COG:COG0261, COG:J, GO:0003723, GO:0003735, GO:0005737, GO:0005840, GO:0006412, GO:0019843, GO:1990904, KEGG:K02888, RefSeq:WP_000271401.1, SO:0001217, UniParc:UPI0000133D38, UniRef:UniRef100_P0AG48, UniRef:UniRef50_P0AG48, UniRef:UniRef90_P0AG48",rplU
chromosome,cds,558184,558441,+,CS12_00565,rpmA,cds,50S ribosomal protein L27,"COG:COG0211, COG:J, GO:0000315, GO:0003735, GO:0006412, GO:0022625, KEGG:K02899, RefSeq:WP_000940595.1, SO:0001217, UniParc:UPI0000050EFF, UniRef:UniRef100_P0A7L8, UniRef:UniRef50_P0A7L8, UniRef:UniRef90_P0A7L8",rpmA
chromosome,cds,558568,559533,+,CS12_00566,yhbE,cds,putative inner membrane transporter YhbE,"COG:COG0697, COG:GER, GO:0005886, RefSeq:WP_000813037.1, SO:0001217, UniParc:UPI000013B1B4, UniRef:UniRef100_P0AA73, UniRef:UniRef50_P0AA73, UniRef:UniRef90_P0AA73",yhbE
chromosome,cds,559549,560721,+,CS12_00567,cgtA,cds,Obg family GTPase CgtA,"EC:3.6.5.-, GO:0000287, GO:0003924, GO:0005525, GO:0005737, GO:0042254, RefSeq:WP_000673561.1, SO:0001217, UniParc:UPI000000E656, UniRef:UniRef100_A7ZS79, UniRef:UniRef50_P42641, UniRef:UniRef90_A7ZS79",cgtA
chromosome,cds,560761,562194,-,CS12_00568,dacB,cds,serine-type D-Ala-D-Ala carboxypeptidase,"COG:COG2027, COG:M, EC:3.4.16.4, EC:3.4.21.-, GO:0000270, GO:0004175, GO:0004180, GO:0004185, GO:0004252, GO:0005886, GO:0006508, GO:0008360, GO:0008658, GO:0009002, GO:0009252, GO:0042597, GO:0043093, GO:0046677, GO:0071555, RefSeq:WP_001212619.1, SO:0001217, UniParc:UPI0000131391, UniRef:UniRef100_P24228, UniRef:UniRef50_P24228, UniRef:UniRef90_P24228",dacB
chromosome,ncRNA-region,562225,562346,+,,,ncRNA-region,Enterobacteria greA leader,"RFAM:RF01769, SO:0000140",Enterobacteria greA leader
chromosome,cds,562442,562918,+,CS12_00569,greA,cds,transcription elongation factor GreA,"COG:COG0782, COG:K, GO:0001108, GO:0003677, GO:0005737, GO:0005829, GO:0006354, GO:0032784, GO:0070063, RefSeq:WP_001148001.1, SO:0001217, UniParc:UPI00001119B5, UniRef:UniRef100_P0A6W5, UniRef:UniRef50_P0A6W5, UniRef:UniRef90_P0A6W5",greA
chromosome,cds,563074,563367,-,CS12_00570,yhbY,cds,ribosome assembly RNA-binding protein YhbY,"COG:COG1534, COG:J, GO:0003723, RefSeq:WP_001054420.1, SO:0001217, UniParc:UPI000013B1CD, UniRef:UniRef100_P0AGK4, UniRef:UniRef50_P0AGK4, UniRef:UniRef90_P0AGK4",yhbY
chromosome,cds,563493,564122,+,CS12_00571,rlmE,cds,23S rRNA (uridine(2552)-2'-O)-methyltransferase RlmE,"COG:COG0293, COG:J, EC:2.1.1.166, GO:0001510, GO:0005737, GO:0006364, GO:0008650, GO:0016436, RefSeq:WP_000145975.1, SO:0001217, UniParc:UPI0000134A54, UniRef:UniRef100_A8AQ68, UniRef:UniRef50_Q8ZBB5, UniRef:UniRef90_A7MIM8",rlmE
